Imagem,Produto Extraído,Marca Extraída,EAN Inferido,Status Inferência
896.jpg,Detergente,Omo,NÃO ENCONTRADO,Base de Dados Inválida para Fuzzy Match
897.jpg,Forti Kids,Nutri Kids,NÃO ENCONTRADO,Base de Dados Inválida para Fuzzy Match
898.jpg,Barra,Snickers,NÃO ENCONTRADO,Base de Dados Inválida para Fuzzy Match
899.jpg,(Informação não especificada no texto),SUKITA,NÃO ENCONTRADO,Base de Dados Inválida para Fuzzy Match
900.jpg,N/D,Decorat,NÃO ENCONTRADO,Base de Dados Inválida para Fuzzy Match
901.jpg,Chocolate,Não informada.,NÃO ENCONTRADO,Base de Dados Inválida para Fuzzy Match
902.jpg,Caffè,BISSOTTO,NÃO ENCONTRADO,Base de Dados Inválida para Fuzzy Match
903.jpg,"(informação não identificada no texto, apenas ""produto"")",BLACK,NÃO ENCONTRADO,Base de Dados Inválida para Fuzzy Match
904.jpg,Não especificado no texto,MDF,NÃO ENCONTRADO,Base de Dados Inválida para Fuzzy Match
905.jpg,MDF,Decor,NÃO ENCONTRADO,Base de Dados Inválida para Fuzzy Match
906.jpg,Não especificado,DECÓSMO,NÃO ENCONTRADO,Base de Dados Inválida para Fuzzy Match
907.jpg,Não especificado (texto truncado),Decor,NÃO ENCONTRADO,Base de Dados Inválida para Fuzzy Match
908.jpg,"(Informação não especificada no texto, apenas ""Banheiro"")",Casa OK,NÃO ENCONTRADO,Base de Dados Inválida para Fuzzy Match
909.jpg,Spray,Lysol,NÃO ENCONTRADO,Base de Dados Inválida para Fuzzy Match
910.jpg,Multiuso,Johnson,NÃO ENCONTRADO,Base de Dados Inválida para Fuzzy Match
911.jpg,Não especificado,Creme,NÃO ENCONTRADO,Base de Dados Inválida para Fuzzy Match
912.jpg,ARO,ARBO,NÃO ENCONTRADO,Base de Dados Inválida para Fuzzy Match
913.jpg,(Não especificado no texto),Urbano,NÃO ENCONTRADO,Base de Dados Inválida para Fuzzy Match
914.jpg,Farinha de Trigo,Farinha de Trigo,NÃO ENCONTRADO,Base de Dados Inválida para Fuzzy Match
915.jpg,Original,Monster,NÃO ENCONTRADO,Base de Dados Inválida para Fuzzy Match
916.jpg,N/A,C a t u r i,NÃO ENCONTRADO,Base de Dados Inválida para Fuzzy Match
917.jpg,LEITE DESNATADO,ZERO,NÃO ENCONTRADO,Base de Dados Inválida para Fuzzy Match
918.jpg,Limpa Pesado,Panex,NÃO ENCONTRADO,Base de Dados Inválida para Fuzzy Match
919.jpg,FULL 74579,CYBER SECURITY,NÃO ENCONTRADO,Base de Dados Inválida para Fuzzy Match
920.jpg,9243,ACII,NÃO ENCONTRADO,Base de Dados Inválida para Fuzzy Match
921.jpg,Não especificado no texto,"59,99",NÃO ENCONTRADO,Base de Dados Inválida para Fuzzy Match
922.jpg,Cereal Granola,Black,NÃO ENCONTRADO,Base de Dados Inválida para Fuzzy Match
923.jpg,Tinta Acrílica,Pintaral,NÃO ENCONTRADO,Base de Dados Inválida para Fuzzy Match
924.jpg,Pano de Limpeza,Acetina,NÃO ENCONTRADO,Base de Dados Inválida para Fuzzy Match
925.jpg,N/A,Ariel,NÃO ENCONTRADO,Base de Dados Inválida para Fuzzy Match
926.jpg,(Não especificado no texto),BLACK+DECKER,NÃO ENCONTRADO,Base de Dados Inválida para Fuzzy Match
927.jpg,Não identificada no texto.,OK,NÃO ENCONTRADO,Base de Dados Inválida para Fuzzy Match
928.jpg,Não especificado,ELSYS,NÃO ENCONTRADO,Base de Dados Inválida para Fuzzy Match
929.jpg,Não especificado no texto,ELSYS,NÃO ENCONTRADO,Base de Dados Inválida para Fuzzy Match
930.jpg,Caixa,BELFIX,NÃO ENCONTRADO,Base de Dados Inválida para Fuzzy Match
931.jpg,(Não especificado no texto),Tommy,NÃO ENCONTRADO,Base de Dados Inválida para Fuzzy Match
932.jpg,Banana,Não informada,NÃO ENCONTRADO,Base de Dados Inválida para Fuzzy Match
933.jpg,Copo,Não identificada,NÃO ENCONTRADO,Base de Dados Inválida para Fuzzy Match
934.jpg,Filé Moído,Friboi,NÃO ENCONTRADO,Base de Dados Inválida para Fuzzy Match
935.jpg,Crackers,Marilan,NÃO ENCONTRADO,Base de Dados Inválida para Fuzzy Match
936.jpg,Manga,Não identificada na imagem,NÃO ENCONTRADO,Base de Dados Inválida para Fuzzy Match
937.jpg,Lava e Cicla,Ariel,NÃO ENCONTRADO,Base de Dados Inválida para Fuzzy Match
938.jpg,Tomate,(Não identificada na imagem),NÃO ENCONTRADO,Base de Dados Inválida para Fuzzy Match
939.jpg,Sabonete 85g Carvão,Dove,NÃO ENCONTRADO,Base de Dados Inválida para Fuzzy Match
940.jpg,(Não especificado no texto),CX18,NÃO ENCONTRADO,Base de Dados Inválida para Fuzzy Match
941.jpg,"Não especificado (apenas ""Crystal"")",Crystal,NÃO ENCONTRADO,Base de Dados Inválida para Fuzzy Match
942.jpg,10 Corações,Café,NÃO ENCONTRADO,Base de Dados Inválida para Fuzzy Match
943.jpg,Melão Amarelo,Não disponível no texto.,NÃO ENCONTRADO,Base de Dados Inválida para Fuzzy Match
944.jpg,Cenouras,Não identificada (texto em branco),NÃO ENCONTRADO,Base de Dados Inválida para Fuzzy Match
945.jpg,Air Fryer,Family,NÃO ENCONTRADO,Base de Dados Inválida para Fuzzy Match
946.jpg,139.50mm,Lorenzetti,NÃO ENCONTRADO,Base de Dados Inválida para Fuzzy Match
947.jpg,Liquidificador,Mondial,NÃO ENCONTRADO,Base de Dados Inválida para Fuzzy Match
948.jpg,Porta,Duratex,NÃO ENCONTRADO,Base de Dados Inválida para Fuzzy Match
949.jpg,Não identificada,Não identificada,NÃO ENCONTRADO,Base de Dados Inválida para Fuzzy Match
950.jpg,Acrílica,Suvin,NÃO ENCONTRADO,Base de Dados Inválida para Fuzzy Match
951.jpg,Cimento,Não identificada,NÃO ENCONTRADO,Base de Dados Inválida para Fuzzy Match
952.jpg,"31,90",Riviera,NÃO ENCONTRADO,Base de Dados Inválida para Fuzzy Match
953.jpg,(Informação não especificada no texto),Nicho,NÃO ENCONTRADO,Base de Dados Inválida para Fuzzy Match
954.jpg,"(Não especificado no texto, presumivelmente um tipo de frasco)",Vietnam,NÃO ENCONTRADO,Base de Dados Inválida para Fuzzy Match
955.jpg,Chocolate,Nestlé,NÃO ENCONTRADO,Base de Dados Inválida para Fuzzy Match
956.jpg,300ML,COLAGEN,NÃO ENCONTRADO,Base de Dados Inválida para Fuzzy Match
957.jpg,Azeite Extra Virgem,Extra Virgem,NÃO ENCONTRADO,Base de Dados Inválida para Fuzzy Match
958.jpg,Ovos,Todos,NÃO ENCONTRADO,Base de Dados Inválida para Fuzzy Match
959.jpg,Lixeira,Inox,NÃO ENCONTRADO,Base de Dados Inválida para Fuzzy Match
960.jpg,Chantilly Creme,Chantilly,NÃO ENCONTRADO,Base de Dados Inválida para Fuzzy Match
961.jpg,(Não especificado no texto),350ml,NÃO ENCONTRADO,Base de Dados Inválida para Fuzzy Match
962.jpg,Lager,Bady,NÃO ENCONTRADO,Base de Dados Inválida para Fuzzy Match
963.jpg,Absolut,Absolut,NÃO ENCONTRADO,Base de Dados Inválida para Fuzzy Match
964.jpg,Frango em Cubos,Frango,NÃO ENCONTRADO,Base de Dados Inválida para Fuzzy Match
965.jpg,"Sanduicheira (Sanduicheira – Traduzido como ""Sanduicheira"", que significa ""sanduicheira"" em português)",Não identificada (a imagem não contém o nome da marca),NÃO ENCONTRADO,Base de Dados Inválida para Fuzzy Match
966.jpg,Panela de Pressão,Panela,NÃO ENCONTRADO,Base de Dados Inválida para Fuzzy Match
967.jpg,Ariel Líquido Concentrado,Ariel,NÃO ENCONTRADO,Base de Dados Inválida para Fuzzy Match
968.jpg,Torradeira,Mondial,NÃO ENCONTRADO,Base de Dados Inválida para Fuzzy Match
969.jpg,Ovos,Não identificada,NÃO ENCONTRADO,Base de Dados Inválida para Fuzzy Match
970.jpg,Frutas,Não identificada na imagem.,NÃO ENCONTRADO,Base de Dados Inválida para Fuzzy Match
971.jpg,Nata Fresca Integral 200g,Nata,NÃO ENCONTRADO,Base de Dados Inválida para Fuzzy Match
972.jpg,Airfryer,Oster,NÃO ENCONTRADO,Base de Dados Inválida para Fuzzy Match
973.jpg,Leite Integral,Sadia,NÃO ENCONTRADO,Base de Dados Inválida para Fuzzy Match
974.jpg,Detergente Liquido,Ariel,NÃO ENCONTRADO,Base de Dados Inválida para Fuzzy Match
975.jpg,LEITE SERENÍSSIMA NENÚMIA,LEITE SERENÍSSIMA,NÃO ENCONTRADO,Base de Dados Inválida para Fuzzy Match
976.jpg,Doce de Leite,Nestle,NÃO ENCONTRADO,Base de Dados Inválida para Fuzzy Match
977.jpg,Chocolate,CAPRICCIO,NÃO ENCONTRADO,Base de Dados Inválida para Fuzzy Match
978.jpg,Integral,Leite 19,NÃO ENCONTRADO,Base de Dados Inválida para Fuzzy Match
979.jpg,Noodle,Bologna,NÃO ENCONTRADO,Base de Dados Inválida para Fuzzy Match
980.jpg,Multiuso,Downy,NÃO ENCONTRADO,Base de Dados Inválida para Fuzzy Match
981.jpg,Ovos,Ovos BRANCO,NÃO ENCONTRADO,Base de Dados Inválida para Fuzzy Match
982.jpg,Frango,Black,NÃO ENCONTRADO,Base de Dados Inválida para Fuzzy Match
983.jpg,Gel de Dente,Oral-B,NÃO ENCONTRADO,Base de Dados Inválida para Fuzzy Match
984.jpg,N/A,Batata,NÃO ENCONTRADO,Base de Dados Inválida para Fuzzy Match
985.jpg,Creme,Topz,NÃO ENCONTRADO,Base de Dados Inválida para Fuzzy Match
986.jpg,Cápsulas,NESCAFE GOLD,NÃO ENCONTRADO,Base de Dados Inválida para Fuzzy Match
987.jpg,Bebida,YOPRO,NÃO ENCONTRADO,Base de Dados Inválida para Fuzzy Match
988.jpg,Não especificado,Carpeata,NÃO ENCONTRADO,Base de Dados Inválida para Fuzzy Match
989.jpg,N/A,PICANHA BOVINA,NÃO ENCONTRADO,Base de Dados Inválida para Fuzzy Match
990.jpg,Margarina,Margarina,NÃO ENCONTRADO,Base de Dados Inválida para Fuzzy Match
991.jpg,Não especificado,Taqari,NÃO ENCONTRADO,Base de Dados Inválida para Fuzzy Match
992.jpg,(Não especificado no texto),CANEPEZ,NÃO ENCONTRADO,Base de Dados Inválida para Fuzzy Match
993.jpg,Loma,Loma,NÃO ENCONTRADO,Base de Dados Inválida para Fuzzy Match
994.jpg,Mostarda Extra,Mostarda Lorena,NÃO ENCONTRADO,Base de Dados Inválida para Fuzzy Match
995.jpg,Vinho Rosé,Azeito,NÃO ENCONTRADO,Base de Dados Inválida para Fuzzy Match
996.jpg,Ketchup,Heinz,NÃO ENCONTRADO,Base de Dados Inválida para Fuzzy Match
997.jpg,Vinho,CARU,NÃO ENCONTRADO,Base de Dados Inválida para Fuzzy Match
998.jpg,Fusilli,Barilla,NÃO ENCONTRADO,Base de Dados Inválida para Fuzzy Match
999.jpg,Azeite Virgin Extra,Borges,NÃO ENCONTRADO,Base de Dados Inválida para Fuzzy Match
